p1,31421.88,53414.28,39.555
p2,31425.02,53387.8,36.8774
p3,31426.62,53359.06,31.225
p4,31425.53,53348.04,27.416
p5,31440.31,53344.57,27.7945
p6,31454.84,53352.89,28.4999
p7,31442.45,53402.88,37.951
p8,31393.86,53393.47,32.5395
p9,31387.57,53358.85,29.426
p10,31376.62,53358.59,29.223
p11,31364.21,53348.66,28.2538
p12,31340.89,53362.8,26.8212
p13,31347.62,53335.73,26.2299
p14,31362.69,53331.84,26.6612
p15,31402.35,53351.82,28.4848
p16,31399.61,53335.09,26.6922
p17,31333.34,53331.15,24.6894
p18,31322.26,53344.1,24.3684
p19,31381.66,53326.8,26.7581
p20,31331.42,53396.59,28.7137
p21,31317.25,53372.7,25.8215
p22,31313.74,53404.54,26.9055
p23,31349.16,53416.04,31.7509
p24,31367.77,53424.7,34.8919
p25,31383.5,53414.85,37.4818
p26,31370.21,53399.59,32.5866
p27,31353.32,53386.89,30.5459
p28,31336.82,53383.23,29.2504
p29,31322.59,53421.13,27.7593
p30,31316.53,53468.29,27.0276
p31,31313.32,53434.93,26.5662
p32,31324.05,53456.71,28.8742
p33,31372.23,53491.54,33.0459
p34,31363.75,53470.83,32.6194
p35,31397.87,53414.07,39.5041
p36,31368.77,53446.84,34.5865
p37,31337.25,53438,30.1398
p38,31344.36,53456.08,30.1871
p39,31401.02,53472.76,38.5963
p40,31432.82,53479.13,42.3405
p41,31422.7,53499.63,40.7577
p42,31402.93,53492.35,37.9286
p43,31390.16,53489.32,36.34
p44,31383.25,53449.7,36.9367
p45,31406.78,53444.56,41.6945
p46,31427.23,53464.5,43.5075
p47,31439.93,53503.6,41.0365
p48,31437.89,53515.85,39.9929
p49,31493.01,53505.89,33.8673
p50,31490.18,53485.63,36.4479
p51,31472.49,53493.83,39.8801
p52,31450.67,53482.52,42.3327
p53,31461.98,53508.1,40.2172
p54,31482.32,53513.7,36.919
p55,31466.79,53532.14,37.7726
p56,31446.42,53547.81,38.3385
p57,31429.29,53555.09,37.5484
p58,31466.8,53550.59,37.233
p59,31490.08,53542.39,33.8351
p60,31481.02,53562.32,34.4659
p61,31461.23,53582.49,34.1418
p62,31474.09,53585.43,32.5303
p63,31464.84,53596.28,31.7542
p64,31494.1,53573.76,31.3335
p65,31505.61,53567.67,29.5076
p66,31465.51,53435.85,40.6101
p67,31438.86,53446.92,43.5085
p68,31462.16,53451.21,42.1787
p69,31442.84,53425.14,42.2289
p70,31471.64,53465.83,41.4353
p71,31478.39,53444.54,39.4434
p72,31489.73,53436.92,35.15
p73,31502.75,53446.87,32.0204
p74,31499.59,53424.8,31.1902
p75,31477.23,53415.55,36.1728
p76,31459.37,53405.41,36.2749
p77,31487.67,53407.98,31.2808
p78,31511.39,53410.21,29.09
p79,31495.92,53392.51,29.1024
p80,31524.73,53434.96,28.8913
p81,31523.57,53415.92,28.6408
p82,31504.81,53381.47,28.3432
p83,31495.85,53365.02,27.6838
p84,31500.58,53352.99,26.1047
p85,31486.82,53348.82,26.2623
p86,31471.08,53350.47,27.5493
p87,31521.57,53357.64,25.8516
p88,31526.14,53387.14,25.9322
p89,31538.09,53418.4,25.2847
p90,31533.77,53448.49,25.8802
p91,31494.46,53465.16,34.603
p92,31508.1,53458.79,31.0874
p93,31519.64,53503.63,28.9581
p94,31505.74,53504.38,29.4945
p95,31513.9,53487.85,29.3574
p96,31522.38,53473.73,28.2401
p97,31534.46,53474.65,28.1753
p98,31537.72,53501.33,27.601
p99,31530.08,53526.89,29.1993
p100,31519.63,53538.63,29.2767
p101,31431.95,53327.38,26.6129
p102,31419.39,53326.22,26.2965
p103,31400.14,53591.41,31.3133
p104,31375.51,53580.18,30.2236
p105,31381.36,53603.18,28.8233
p106,31341.71,53529.15,27.0601
p107,31408.9,53583.86,33.6867
p108,31419.84,53565.07,36.2957
p109,31402.71,53544.34,36.3476
p110,31403.82,53568.31,34.7975
p111,31388.7,53517.51,35.1603
p112,31366.48,53521.11,31.672
p113,31349.28,53539.64,29.138
p114,31335.71,53506.62,26.9185
p115,31350.97,53505.15,29.6483
p116,31379.74,53494.79,33.5259
p117,31374.64,53511.44,33.1928
p118,31354.75,53493.14,30.8649
p119,31508.67,53549.66,30.3146
p120,31500.28,53369.18,27.7
p121,31431.06,53442.8,43.9
p122,31444.08,53455.78,43.46
p123,31374.57,53461.02,35.5
p124,31388.9,53437.3,38.2
p125,31407.54,53399.61,37
p126,31450.64,53514.12,40.1
