p1,414.28,421.88,39.555
p2,387.8,425.02,36.8774
p3,359.06,426.62,31.225
p4,348.04,425.53,27.416
p5,344.57,440.31,27.7945
p6,352.89,454.84,28.4999
p7,402.88,442.45,37.951
p8,393.47,393.86,32.5395
p9,358.85,387.57,29.426
p10,358.59,376.62,29.223
p11,348.66,364.21,28.2538
p12,362.8,340.89,26.8212
p13,335.73,347.62,26.2299
p14,331.84,362.69,26.6612
p15,351.82,402.35,28.4848
p16,335.09,399.61,26.6922
p17,331.15,333.34,24.6894
p18,344.1,322.26,24.3684
p19,326.8,381.66,26.7581
p20,396.59,331.42,28.7137
p21,372.7,317.25,25.8215
p22,404.54,313.74,26.9055
p23,416.04,349.16,31.7509
p24,424.7,367.77,34.8919
p25,414.85,383.5,37.4818
p26,399.59,370.21,32.5866
p27,386.89,353.32,30.5459
p28,383.23,336.82,29.2504
p29,421.13,322.59,27.7593
p30,468.29,316.53,27.0276
p31,434.93,313.32,26.5662
p32,456.71,324.05,28.8742
p33,491.54,372.23,33.0459
p34,470.83,363.75,32.6194
p35,414.07,397.87,39.5041
p36,446.84,368.77,34.5865
p37,438,313.25,30.1398
p38,456.08,344.36,30.1871
p39,472.76,401.02,38.5963
p40,479.13,432.82,42.3405
p41,499.63,422.7,40.7577
p42,492.35,402.93,37.9286
p43,489.32,390.16,36.34
p44,449.7,383.25,36.9367
p45,444.56,406.78,41.6945
p46,464.5,427.23,43.5075
p47,503.6,439.93,41.0365
p48,515.85,437.89,39.9929
p49,505.89,493.01,33.8673
p50,485.63,490.18,36.4479
p51,493.83,472.49,39.8801
p52,482.52,450.67,42.3327
p53,508.1,461.98,40.2172
p54,513.7,382.32,36.919
p55,532.14,466.79,37.7726
p56,547.81,446.42,38.3385
p57,555.09,429.29,37.5484
p58,550.59,466.8,37.233
p59,542.39,490.08,33.8351
p60,562.32,481.02,34.4659
p61,582.49,461.23,34.1418
p62,585.43,474.09,32.5303
p63,596.28,464.84,31.7542
p64,573.76,494.1,31.3335
p65,567.67,505.61,29.5076
p66,435.85,465.51,40.6101
p67,446.92,438.86,43.5085
p68,451.21,462.16,42.1787
p69,425.14,442.84,42.2289
p70,465.83,471.64,41.4353
p71,444.54,478.39,39.4434
p72,436.92,489.73,35.15
p73,446.87,502.75,32.0204
p74,424.8,499.59,31.1902
p75,415.55,477.23,36.1728
p76,405.41,459.37,36.2749
p77,407.98,487.67,31.2808
p78,410.21,511.39,29.09
p79,392.51,495.92,29.1024
p80,434.96,524.73,28.8913
p81,415.92,523.57,28.6408
p82,381.47,504.81,28.3432
p83,365.02,495.85,27.6838
p84,352.99,500.58,26.1047
p85,348.82,486.82,26.2623
p86,350.47,471.08,27.5493
p87,357.64,521.57,25.8516
p88,387.14,526.14,25.9322
p89,418.4,538.09,25.2847
p90,448.49,533.77,25.8802
p91,465.16,494.46,34.603
p92,458.79,508.1,31.0874
p93,503.63,519.64,28.9581
p94,504.38,505.74,29.4945
p95,487.85,513.9,29.3574
p96,473.73,522.38,28.2401
p97,474.65,534.46,28.1753
p98,501.33,537.72,27.601
p99,526.89,530.08,29.1993
p100,538.63,519.63,29.2767
p101,327.38,431.95,26.6129
p102,326.22,419.39,26.2965
p103,591.41,400.14,31.3133
p104,580.18,375.51,30.2236
p105,603.18,381.36,28.8233
p106,529.15,341.71,27.0601
p107,583.86,408.9,33.6867
p108,565.07,419.84,36.2957
p109,544.34,402.71,36.3476
p110,568.31,403.82,34.7975
p111,517.51,388.7,35.1603
p112,521.11,366.48,31.672
p113,539.64,349.28,29.138
p114,506.62,335.71,26.9185
p115,505.15,350.97,29.6483
p116,494.79,379.74,33.5259
p117,511.44,374.64,33.1928
p118,493.14,354.75,30.8649
p119,549.66,508.67,30.3146
p120,369.18,500.28,27.7
p121,442.8,431.06,43.9
p122,455.78,444.08,43.46
p123,461.02,374.57,35.5
p124,437.3,388.9,38.2
p125,399.61,407.54,37
p126,514.12,450.64,40.1
