a,6378245.000
1/f,298.300
L0,108.00
B,47.43089859

B47,40.43406439,108.79296499,75.649
A62,37.75209893,109.22899082,63.039
P28,42.58319498,108.57436414,83.761
Q61,43.56107970,109.92111024,82.232
P52,41.57434715,108.29515681,68.223
P73,41.59143126,110.71279232,55.612
B39,40.28369145,109.84931474,77.048
B46,37.64744892,108.69993139,56.325
P70,39.64148660,110.68680680,60.797
A56,40.69691060,110.74352597,71.863
B92,42.39854236,108.59226356,84.474
P91,39.46053973,109.63361178,63.751
Q37,40.41299897,110.65979811,84.619
B75,42.39531008,108.64587034,72.009
P56,39.69306268,109.35483403,59.398
P29,45.59407602,108.56322601,73.262
Q20,47.39322035,109.78155353,77.193
A11,43.71204894,108.43431045,64.583
B99,44.58211165,110.15795832,68.078
P43,43.57111700,110.72721036,80.688
A42,44.67430552,109.71272613,69.767
